,Product_code,Product_name,Rating,number_of_reveiws,Price,Images,Link,Reveiw Link,Avg_rev_rating,rev_rat_dist,rev_tone_dist
0,B08CKY5XX3,"ASUS VivoBook 15 (2020), 39.6 cm HD, Dual Core Intel Celeron N4020, Thin and Light Laptop (4GB RAM/256GB SSD/Integrated Graphics/Windows 10 Home/Transparent Silver/1.8 Kg), X515MA-BR002T  ",4.1,659,"₹27,639",https://m.media-amazon.com/images/I/71S8U9VzLTL._AC_UY218_.jpg,https://www.amazon.in/ASUS-VivoBook-Integrated-Transparent-X515MA-BR002T/dp/B08CKY5XX3/ref=sr_1_3?keywords=laptop&qid=1636205406&sr=8-3,https://www.amazon.in/ASUS-VivoBook-Integrated-Transparent-X515MA-BR002T/product-reviews/B08CKY5XX3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.92,101 48 17 4 31,23 150 28
1,B095YC11CF,"HP 15 10th Gen Intel Core i3 Thin and Light 15.6 inches FHD Laptop (8GB/1TB HDD/M.2 Slot/Windows 10/MS Office/Jet Black, 1.74 kg) 15s-du1066TU  ",3.8,1511,"₹40,990",https://m.media-amazon.com/images/I/81Ne5qKmE8L._AC_UY218_.jpg,https://www.amazon.in/HP-inches-Laptop-Windows-15s-du1066TU/dp/B095YC11CF/ref=sr_1_4?keywords=laptop&qid=1636205406&sr=8-4,https://www.amazon.in/HP-inches-Laptop-Windows-15s-du1066TU/product-reviews/B095YC11CF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0,119 73 50 42 134,54 215 149
2,B08X4N3DW2,"Dell Inspiron 3502 15.6"" (39.62 cms) HD Display Laptop (Pentium Silver N5030 / 4GB / 256GB SSD / Integrated Graphics / Win 10 + MSO / Accent Black) D560427WIN9BE  ",4.2,276,"₹44,125",https://m.media-amazon.com/images/I/51jPUwqQTFL._AC_UY218_.jpg,https://www.amazon.in/Dell-Inspiron-Integrated-Graphics-D560427WIN9BE/dp/B08X4N3DW2/ref=sr_1_5?keywords=laptop&qid=1636205406&sr=8-5,https://www.amazon.in/Dell-Inspiron-Integrated-Graphics-D560427WIN9BE/product-reviews/B08X4N3DW2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.95,37 14 2 12,12 46 7
3,B09G9ZPV38,"Lenovo IdeaPad Slim 1 Intel Celeron N4020 11.6"" (29.46cm) HD Thin & Light Laptop (4GB/256 GB SSD/Windows 10/MS Office/Platinum Grey/1.2Kg), 81VT0071IN  ",3.8,92,"₹25,990",https://m.media-amazon.com/images/I/61km1VkaCsL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-IdeaPad-Celeron-Platinum-81VT0071IN/dp/B09G9ZPV38/ref=sr_1_6?keywords=laptop&qid=1636205406&sr=8-6,https://www.amazon.in/Lenovo-IdeaPad-Celeron-Platinum-81VT0071IN/product-reviews/B09G9ZPV38/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.24,12 4 2 1 10,6 14 9
4,B0928NL6F3,"HP 14 11th Gen Intel Core i5 Processor 14 inches HD Laptop, 8GB/512GB SSD/Windows 10/MS Office (Natural Silver/1.46Kg), 14s-dq2535TU  ",4.1,417,"₹57,990",https://m.media-amazon.com/images/I/71bJqS8ZLTL._AC_UY218_.jpg,https://www.amazon.in/HP-Processor-Windows-Natural-14s-dq2535TU/dp/B0928NL6F3/ref=sr_1_7?keywords=laptop&qid=1636205406&sr=8-7,https://www.amazon.in/HP-Processor-Windows-Natural-14s-dq2535TU/product-reviews/B0928NL6F3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.48,40 23 8 8 23,16 63 23
5,B08C5W6PL2,"HP Chromebook 14-inch (35.56 cms) Thin & Light Touchscreen Laptop (Celeron N4020/4GB/64GB eMMC + 256GB Expandable Storage/Chrome OS/1.46 kgs Light/ Mineral Silver), 14a-na0003TU  ",3.8,862,"₹26,750",https://m.media-amazon.com/images/I/613WULNEr1L._AC_UY218_.jpg,https://www.amazon.in/HP-Chromebook-14a-na0003TU-Touchscreen-Expandable/dp/B08C5W6PL2/ref=sr_1_8?keywords=laptop&qid=1636205406&sr=8-8,https://www.amazon.in/HP-Chromebook-14a-na0003TU-Touchscreen-Expandable/product-reviews/B08C5W6PL2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.23,108 45 21 12 93,31 182 66
6,B095BYNN8Z,"Acer Extensa 15 Thin & Light Intel Processor Pentium Silver N5030 15.6 inches Business Laptop (4GB RAM/1TB HDD/Windows 10 Home/Integrated Graphic Card/Black/1.9 Kg, EX215-31)  ",3.6,295,"₹29,800",https://m.media-amazon.com/images/I/816U-xDHnKS._AC_UY218_.jpg,https://www.amazon.in/Acer-Processor-Business-Integrated-EX215-31/dp/B095BYNN8Z/ref=sr_1_9?keywords=laptop&qid=1636205406&sr=8-9,https://www.amazon.in/Acer-Processor-Business-Integrated-EX215-31/product-reviews/B095BYNN8Z/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.22,23 28 10 8 23,16 54 22
7,B08S3MGDS3,"HP 15 11th Gen Intel Core i3 Processor 15.6"" (39.62cms) FHD Laptop with Alexa Built-in(i3-1115G4/8GB/1TB HDD/M.2 Slot/Win 10/MS Office/Natural Silver/1.76 Kg), 15s-du3038TU  ",3.5,445,"₹42,990",https://m.media-amazon.com/images/I/81pG0gZywML._AC_UY218_.jpg,https://www.amazon.in/HP-Processor-39-62cms-i3-1115G4-15s-du3038TU/dp/B08S3MGDS3/ref=sr_1_10?keywords=laptop&qid=1636205406&sr=8-10,https://www.amazon.in/HP-Processor-39-62cms-i3-1115G4-15s-du3038TU/product-reviews/B08S3MGDS3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.36,17 14 18 13 55,23 42 52
8,B083RD58F6,"HP 15 db1069AU 15.6"" (39.62cms) ) Laptop (3rd Gen Ryzen 3 3200U/4GB/1TB HDD/Windows 10/MS Office/Radeon Vega 3 Graphics), Jet Black  ",3.7,1255,"₹31,999",https://m.media-amazon.com/images/I/71JZWpHPV+L._AC_UY218_.jpg,https://www.amazon.in/HP-db1069AU-15-6-inch-Windows-Graphics/dp/B083RD58F6/ref=sr_1_13?keywords=laptop&qid=1636205406&sr=8-13,https://www.amazon.in/HP-db1069AU-15-6-inch-Windows-Graphics/product-reviews/B083RD58F6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.9,90 73 43 38 126,34 184 152
9,B09G9YCHZ8,"Lenovo IdeaPad Slim 3 10th Gen Intel Core i3 15.6"" (39.62cm) HD Thin & Light Laptop (8GB/256GB SSD/Windows 10/MS Office/2 Year Warranty/Platinum Grey/1.85Kg), 81WE01P5IN  ",4.0,466,"₹40,500",https://m.media-amazon.com/images/I/61Dw5Z8LzJL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-IdeaPad-Warranty-Platinum-81WE01P5IN/dp/B09G9YCHZ8/ref=sr_1_14?keywords=laptop&qid=1636205406&sr=8-14,https://www.amazon.in/Lenovo-IdeaPad-Warranty-Platinum-81WE01P5IN/product-reviews/B09G9YCHZ8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.21,37 37 14 11 36,18 84 33
