,Product_code,Product_name,Rating,number_of_reveiws,Price,Images,Link,Reveiw Link,Brand
0,B097RKZYGS,"ASUS VivoBook 14 (2020), 14-inch (35.56 cms) Full HD, AMD Ryzen 3 3250U, Thin and Light Laptop (4GB RAM/1TB HDD/Integrated Graphics/Windows 10/Slate Grey/1.6 kg), M415DA-EB301T  ",3.9,156,31990,https://m.media-amazon.com/images/I/716bvqzz7PL._AC_UY218_.jpg,https://www.amazon.in/ASUS-VivoBook-Integrated-Graphics-M415DA-EB301T/dp/B097RKZYGS/ref=sr_1_4?dchild=1&keywords=laptop&qid=1632408226&qsid=259-1048591-1424961&sr=8-4&sres=B09F9Q17XT%2CB097RKZYGS%2CB08C5W6PL2%2CB08HJYFZ14%2CB08HJZHTM1%2CB0924PSV78%2CB095JY5B3F%2CB08JCP96XL%2CB0999BTTKZ%2CB08JCDHPGF%2CB093VZC5X9%2CB098XL1SY5%2CB0991MJLN2%2CB09D3B7NX9%2CB097C2JJ1R%2CB0983WGJZP&srpt=NOTEBOOK_COMPUTER,https://www.amazon.in/ASUS-VivoBook-Business-Integrated-M415DA-EB301T/product-reviews/B097RKZYGS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,ASUS
1,B08C5W6PL2,"HP Chromebook 14-inch (35.56 cms) Thin & Light Touchscreen Laptop (Celeron N4020/4GB/64GB eMMC + 256GB Expandable Storage/Chrome OS/1.46 kgs Light/ Mineral Silver), 14a-na0003TU  ",3.9,766,25999,https://m.media-amazon.com/images/I/613WULNEr1L._AC_UY218_.jpg,https://www.amazon.in/HP-Chromebook-14a-na0003TU-Touchscreen-Expandable/dp/B08C5W6PL2/ref=sr_1_5?dchild=1&keywords=laptop&qid=1632408226&qsid=259-1048591-1424961&sr=8-5&sres=B09F9Q17XT%2CB097RKZYGS%2CB08C5W6PL2%2CB08HJYFZ14%2CB08HJZHTM1%2CB0924PSV78%2CB095JY5B3F%2CB08JCP96XL%2CB0999BTTKZ%2CB08JCDHPGF%2CB093VZC5X9%2CB098XL1SY5%2CB0991MJLN2%2CB09D3B7NX9%2CB097C2JJ1R%2CB0983WGJZP&srpt=NOTEBOOK_COMPUTER,https://www.amazon.in/HP-Chromebook-14a-na0003TU-Touchscreen-Expandable/product-reviews/B08C5W6PL2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,HP
2,B08HJYFZ14,"HP 15 AMD Athlon 15.6"" (39.62cms) HD Laptop (Silver-3050U/4GB/1TB/Win 10/MS Office/Jet Black/1.85kg), 15s-gy0001au  ",3.5,483,25999,https://m.media-amazon.com/images/I/61bkuSlKF4L._AC_UY218_.jpg,https://www.amazon.in/HP-Athlon-15-6-inch-Silver-3050U-15s-gy0001au/dp/B08HJYFZ14/ref=sr_1_6?dchild=1&keywords=laptop&qid=1632408226&qsid=259-1048591-1424961&sr=8-6&sres=B09F9Q17XT%2CB097RKZYGS%2CB08C5W6PL2%2CB08HJYFZ14%2CB08HJZHTM1%2CB0924PSV78%2CB095JY5B3F%2CB08JCP96XL%2CB0999BTTKZ%2CB08JCDHPGF%2CB093VZC5X9%2CB098XL1SY5%2CB0991MJLN2%2CB09D3B7NX9%2CB097C2JJ1R%2CB0983WGJZP&srpt=NOTEBOOK_COMPUTER,https://www.amazon.in/HP-Athlon-15-6-inch-Silver-3050U-15s-gy0001au/product-reviews/B08HJYFZ14/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,HP
3,B08HJZHTM1,"HP 15 Intel Pentium Gold 6405U Processor Entry Level 39.62 cms(15.6-inch) FHD Laptop (4GB/1TB/Win 10/Jet Black/1.74kg), 15s-du1052tu  ",3.4,843,25999,https://m.media-amazon.com/images/I/71FB8qoB78L._AC_UY218_.jpg,https://www.amazon.in/HP-Pentium-Processor-15-6-inch-15s-du1052tu/dp/B08HJZHTM1/ref=sr_1_7?dchild=1&keywords=laptop&qid=1632408226&qsid=259-1048591-1424961&sr=8-7&sres=B09F9Q17XT%2CB097RKZYGS%2CB08C5W6PL2%2CB08HJYFZ14%2CB08HJZHTM1%2CB0924PSV78%2CB095JY5B3F%2CB08JCP96XL%2CB0999BTTKZ%2CB08JCDHPGF%2CB093VZC5X9%2CB098XL1SY5%2CB0991MJLN2%2CB09D3B7NX9%2CB097C2JJ1R%2CB0983WGJZP&srpt=NOTEBOOK_COMPUTER,https://www.amazon.in/HP-Pentium-Processor-15-6-inch-15s-du1052tu/product-reviews/B08HJZHTM1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,HP
4,B0924PSV78,"RDP ThinBook 1010 - Intel Celeron Quad Core Processor, 4GB RAM, 64GB Storage, Windows 10 Pro, 14.1” HD Screen  ",3.4,258,19990,https://m.media-amazon.com/images/I/51C6EHkMQpS._AC_UY218_.jpg,https://www.amazon.in/RDP-ThinBook-1010-Celeron-Processor/dp/B0924PSV78/ref=sr_1_8?dchild=1&keywords=laptop&qid=1632408226&qsid=259-1048591-1424961&sr=8-8&sres=B09F9Q17XT%2CB097RKZYGS%2CB08C5W6PL2%2CB08HJYFZ14%2CB08HJZHTM1%2CB0924PSV78%2CB095JY5B3F%2CB08JCP96XL%2CB0999BTTKZ%2CB08JCDHPGF%2CB093VZC5X9%2CB098XL1SY5%2CB0991MJLN2%2CB09D3B7NX9%2CB097C2JJ1R%2CB0983WGJZP&srpt=NOTEBOOK_COMPUTER,https://www.amazon.in/RDP-ThinBook-1010-Celeron-Processor/product-reviews/B0924PSV78/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,RDP
5,B095JY5B3F,"Lenovo V15 AMD 15.6-inch (39.6 cm) FHD Thin and Light Laptop (AMD Athlon Silver 3050 U/ 4GB RAM/ 1TB HDD/ Windows 10 Home/Integrated AMD Radeon Graphics/ Iron Grey/ 1.85 kg), 82C700J0IH  ",3.4,154,31790,https://m.media-amazon.com/images/I/71vCx6vbdBL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-15-6-inch-Integrated-Graphics-82C700J0IH/dp/B095JY5B3F/ref=sr_1_9?dchild=1&keywords=laptop&qid=1632408226&qsid=259-1048591-1424961&sr=8-9&sres=B09F9Q17XT%2CB097RKZYGS%2CB08C5W6PL2%2CB08HJYFZ14%2CB08HJZHTM1%2CB0924PSV78%2CB095JY5B3F%2CB08JCP96XL%2CB0999BTTKZ%2CB08JCDHPGF%2CB093VZC5X9%2CB098XL1SY5%2CB0991MJLN2%2CB09D3B7NX9%2CB097C2JJ1R%2CB0983WGJZP&srpt=NOTEBOOK_COMPUTER,https://www.amazon.in/Lenovo-15-6-inch-Integrated-Graphics-82C700J0IH/product-reviews/B095JY5B3F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,LENOVO
6,B08JCP96XL,"Lenovo IdeaPad Slim 3 AMD Athlon Silver 3050U 15.6"" (39.63cm) HD Thin & Light Laptop (4GB/1TB HDD/Windows 10/AMD Radeon Graphics/Platinum Grey/1.85Kg), 81W100W9IN  ",3.3,74,31790,https://m.media-amazon.com/images/I/61Dw5Z8LzJL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-Integrated-Graphics-Platinum-81W100W9IN/dp/B08JCP96XL/ref=sr_1_10?dchild=1&keywords=laptop&qid=1632408226&qsid=259-1048591-1424961&sr=8-10&sres=B09F9Q17XT%2CB097RKZYGS%2CB08C5W6PL2%2CB08HJYFZ14%2CB08HJZHTM1%2CB0924PSV78%2CB095JY5B3F%2CB08JCP96XL%2CB0999BTTKZ%2CB08JCDHPGF%2CB093VZC5X9%2CB098XL1SY5%2CB0991MJLN2%2CB09D3B7NX9%2CB097C2JJ1R%2CB0983WGJZP&srpt=NOTEBOOK_COMPUTER,https://www.amazon.in/Lenovo-Integrated-Graphics-Platinum-81W100W9IN/product-reviews/B08JCP96XL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,LENOVO
7,B0999BTTKZ,"Lenovo IdeaPad Slim 3 10th Gen Intel Core i3 15.6"" (39.63cm) FHD Thin & Light Laptop (8GB/1TB HDD/Windows 10/MS Office/Intel UHD Graphics/2 Year Warranty/Platinum Grey/1.7Kg), 81WB015GIN  ",4.0,279,39990,https://m.media-amazon.com/images/I/61Dw5Z8LzJL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-Graphics-Warranty-Platinum-81WB015GIN/dp/B0999BTTKZ/ref=sr_1_12?dchild=1&keywords=laptop&qid=1632408226&qsid=259-1048591-1424961&sr=8-12&sres=B09F9Q17XT%2CB097RKZYGS%2CB08C5W6PL2%2CB08HJYFZ14%2CB08HJZHTM1%2CB0924PSV78%2CB095JY5B3F%2CB08JCP96XL%2CB0999BTTKZ%2CB08JCDHPGF%2CB093VZC5X9%2CB098XL1SY5%2CB0991MJLN2%2CB09D3B7NX9%2CB097C2JJ1R%2CB0983WGJZP&srpt=NOTEBOOK_COMPUTER,https://www.amazon.in/Lenovo-IdeaPad-Business-Graphics-Platinum/product-reviews/B0999BTTKZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,LENOVO
8,B08JCDHPGF,"Lenovo IdeaPad Slim 3 AMD 3020e 15.6"" (39.63cm) HD Thin & Light Laptop (4GB/1TB HDD/Windows 10/AMD Radeon Graphics/Platinum Grey/1.85Kg), 81W100VFIN  ",3.6,376,39990,https://m.media-amazon.com/images/I/61Dw5Z8LzJL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-Integrated-Graphics-Platinum-81W100VFIN/dp/B08JCDHPGF/ref=sr_1_13?dchild=1&keywords=laptop&qid=1632408226&qsid=259-1048591-1424961&sr=8-13&sres=B09F9Q17XT%2CB097RKZYGS%2CB08C5W6PL2%2CB08HJYFZ14%2CB08HJZHTM1%2CB0924PSV78%2CB095JY5B3F%2CB08JCP96XL%2CB0999BTTKZ%2CB08JCDHPGF%2CB093VZC5X9%2CB098XL1SY5%2CB0991MJLN2%2CB09D3B7NX9%2CB097C2JJ1R%2CB0983WGJZP&srpt=NOTEBOOK_COMPUTER,https://www.amazon.in/Lenovo-Integrated-Graphics-Platinum-81W100VFIN/product-reviews/B08JCDHPGF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,LENOVO
9,B093VZC5X9,"HP 14 (2021) 11th Gen Intel Core i3 Laptop with Alexa Built-in, 8GB RAM, 256GB SSD, 14-Inch (35.6 cm) FHD Screen, Windows 10, MS Office, (14s- dy2501tu)  ",4.3,694,39999,https://m.media-amazon.com/images/I/71bJqS8ZLTL._AC_UY218_.jpg,https://www.amazon.in/HP-Laptop-14-Inch-Windows-dy2501tu/dp/B093VZC5X9/ref=sr_1_14?dchild=1&keywords=laptop&qid=1632408226&qsid=259-1048591-1424961&sr=8-14&sres=B09F9Q17XT%2CB097RKZYGS%2CB08C5W6PL2%2CB08HJYFZ14%2CB08HJZHTM1%2CB0924PSV78%2CB095JY5B3F%2CB08JCP96XL%2CB0999BTTKZ%2CB08JCDHPGF%2CB093VZC5X9%2CB098XL1SY5%2CB0991MJLN2%2CB09D3B7NX9%2CB097C2JJ1R%2CB0983WGJZP&srpt=NOTEBOOK_COMPUTER,https://www.amazon.in/HP-Laptop-14-Inch-Windows-dy2501tu/product-reviews/B093VZC5X9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,HP
