,Product_code,Words,sentences
0,B08CKY5XX3,price,"I am using this laptop for a week and feeling so much thankful to my choice of purchase as it is working accordingly my expectations .This laptop was manufactured in Apr 21 and have great features like fingerprints 256GB ssd which gives flawless speed and having fast charging capacity although it is not full HD but still not much difference in picture quality comparatively.The most favored thing in this laptop is that is of only 21350 INR by HDFC credit EMI transaction .As I bought it for study purpose, it is one of the best laptop in this price range."
1,B08CKY5XX3,price,This is such a premium looking laptop at this price point.
2,B08CKY5XX3,price,Can't believe something so good can be available at this price point.
3,B08CKY5XX3,price,I am techy and very nitpicky about gadget features and specifications at a given price.
4,B08CKY5XX3,price,"45,000/-, as per Prime day offer the price will be around Rs."
5,B08CKY5XX3,price,"After exchange, the price was Rs."
6,B08CKY5XX3,price,After receiving the laptop the price on the packet was Rs.
7,B08CKY5XX3,price,"After opening the laptop and setting id’s and all and then restarting it OS crashed and I have to return the laptop.Nothing went well for me so I have to return this laptop
I had an urgent requirement for a regular use laptop for my sister and searched amazon to find this one.Really very good deal under 23k since you are getting 256ssd for this price along with upgradable memory which originally is 4gb out of the box.Overall quality is good with quality speakers and good enough screen even though it is not full HD."
8,B08CKY5XX3,price,"But overall specs are also par for the course considering the price and brand of ASUS.But dont expect gaming in this laptop since after all it a celeron processor.I was pleasantly surprised to see a fingerprint sensor which in today's world, laptops costing 3 times more than this dont even provide."
9,B08CKY5XX3,price,"Very dissappointed
Nice laptop higher res compared to others in this price range which is nice."
10,B08CKY5XX3,price,"Very quick laptop loads up in a snap and the finger print reader actually works well.Very nice machine for the price - I am a happy customer :)
Returned back and return processed First time had a problem with start as even after pressing power button it was not getting on immediately after 2 days of operation,Second time it happened after a week, It was subsequently corrected by the service engineer."
11,B08CKY5XX3,price,\xa0Negative1.Fingerprints slow he kaafi2.Battery backup kam he3.video quality hd nahi lgta he.4.ssd storage he but slow boot hota he.Positive1.lockdown ke wajah se iss price me yani ke 25 k  me laptop milna muskil tha .
12,B08CKY5XX3,price,Best laptop in this price.
