,Product_code,Product_name,Rating,number of reveiws,Price,Images,Link,Reveiw Link
0,B08CKY5XX3,"ASUS VivoBook 15 (2020), 39.6 cm HD, Dual Core Intel Celeron N4020, Thin and Light Laptop (4GB RAM/256GB SSD/Integrated Graphics/Windows 10 Home/Transparent Silver/1.8 Kg), X515MA-BR002T  ",4.1 out of 5 stars,659,"₹27,639",https://m.media-amazon.com/images/I/71S8U9VzLTL._AC_UY218_.jpg,"price,battery,quality,office,weight","37,28,25,16,15"
1,B095YC11CF,"HP 15 10th Gen Intel Core i3 Thin and Light 15.6 inches FHD Laptop (8GB/1TB HDD/M.2 Slot/Windows 10/MS Office/Jet Black, 1.74 kg) 15s-du1066TU  ",3.8 out of 5 stars,1511,"₹40,990",https://m.media-amazon.com/images/I/81Ne5qKmE8L._AC_UY218_.jpg,"time,battery,performance,quality,money","54,50,39,38,36"
2,B08X4N3DW2,"Dell Inspiron 3502 15.6"" (39.62 cms) HD Display Laptop (Pentium Silver N5030 / 4GB / 256GB SSD / Integrated Graphics / Win 10 + MSO / Accent Black) D560427WIN9BE  ",4.2 out of 5 stars,276,"₹44,125",https://m.media-amazon.com/images/I/51jPUwqQTFL._AC_UY218_.jpg,"quality,battery,processor,money,screen","14,12,11,10,9"
3,B09G9ZPV38,"Lenovo IdeaPad Slim 1 Intel Celeron N4020 11.6"" (29.46cm) HD Thin & Light Laptop (4GB/256 GB SSD/Windows 10/MS Office/Platinum Grey/1.2Kg), 81VT0071IN  ",3.8 out of 5 stars,92,"₹25,990",https://m.media-amazon.com/images/I/61km1VkaCsL._AC_UY218_.jpg,"work,classes,money,screen,weight","4,4,4,4,3"
4,B0928NL6F3,"HP 14 11th Gen Intel Core i5 Processor 14 inches HD Laptop, 8GB/512GB SSD/Windows 10/MS Office (Natural Silver/1.46Kg), 14s-dq2535TU  ",4.1 out of 5 stars,417,"₹57,990",https://m.media-amazon.com/images/I/71bJqS8ZLTL._AC_UY218_.jpg,"quality,battery,weight,time,screen","17,11,10,8,8"
5,B08C5W6PL2,"HP Chromebook 14-inch (35.56 cms) Thin & Light Touchscreen Laptop (Celeron N4020/4GB/64GB eMMC + 256GB Expandable Storage/Chrome OS/1.46 kgs Light/ Mineral Silver), 14a-na0003TU  ",3.8 out of 5 stars,862,"₹26,750",https://m.media-amazon.com/images/I/613WULNEr1L._AC_UY218_.jpg,"screen,apps,quality,battery,windows","72,42,40,40,38"
6,B095BYNN8Z,"Acer Extensa 15 Thin & Light Intel Processor Pentium Silver N5030 15.6 inches Business Laptop (4GB RAM/1TB HDD/Windows 10 Home/Integrated Graphic Card/Black/1.9 Kg, EX215-31)  ",3.6 out of 5 stars,295,"₹29,800",https://m.media-amazon.com/images/I/816U-xDHnKS._AC_UY218_.jpg,"money,quality,price,battery,display","12,11,10,10,7"
7,B08S3MGDS3,"HP 15 11th Gen Intel Core i3 Processor 15.6"" (39.62cms) FHD Laptop with Alexa Built-in(i3-1115G4/8GB/1TB HDD/M.2 Slot/Win 10/MS Office/Natural Silver/1.76 Kg), 15s-du3038TU  ",3.5 out of 5 stars,445,"₹42,990",https://m.media-amazon.com/images/I/81pG0gZywML._AC_UY218_.jpg,"time,performance,money,quality,battery","24,15,14,11,10"
8,B083RD58F6,"HP 15 db1069AU 15.6"" (39.62cms) ) Laptop (3rd Gen Ryzen 3 3200U/4GB/1TB HDD/Windows 10/MS Office/Radeon Vega 3 Graphics), Jet Black  ",3.7 out of 5 stars,1255,"₹31,999",https://m.media-amazon.com/images/I/71JZWpHPV+L._AC_UY218_.jpg,"battery,time,money,ram,office","43,41,39,29,28"
9,B09G9YCHZ8,"Lenovo IdeaPad Slim 3 10th Gen Intel Core i3 15.6"" (39.62cm) HD Thin & Light Laptop (8GB/256GB SSD/Windows 10/MS Office/2 Year Warranty/Platinum Grey/1.85Kg), 81WE01P5IN  ",4.0 out of 5 stars,466,"₹40,500",https://m.media-amazon.com/images/I/61Dw5Z8LzJL._AC_UY218_.jpg,"battery,quality,camera,weight,service","33,32,27,19,16"
10,B09CCR7JVV,"ASUS VivoBook 14 (2021) 14.0-inch (35.56 cms) FHD, Intel Pentium Silver N5030, Thin and Light Laptop (4GB/256GB SSD/Office 2019/Windows 10/Integrated Graphics/Silver/1.6 Kg), X415MA-EK111TS  ",3.9 out of 5 stars,17,"₹29,990",https://m.media-amazon.com/images/I/71WuDXpTAlL._AC_UY218_.jpg,https://www.amazon.in/ASUS-14-0-inch-Pentium-Silver-N5030-Integrated-X415MA-EK111TS/dp/B09CCR7JVV/ref=sr_1_15?keywords=laptop&qid=1636205406&sr=8-15,https://www.amazon.in/ASUS-14-0-inch-Pentium-Silver-N5030-Integrated-X415MA-EK111TS/product-reviews/B09CCR7JVV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
11,B09F3QP9JS,"Dell 15 (2021) Laptop i3-1115G4, 8GB, 256GB SSD, Win 10 + MS Office, Integrated Graphics, 15.6"" (39.61 cms) FHD Display, Carbon Color (Inspiron 3511, D560581WIN9BE)  ",3.7 out of 5 stars,128,"₹43,090",https://m.media-amazon.com/images/I/61XR0oGhF6L._AC_UY218_.jpg,"quality,battery,keyboard,screen,performance","27,15,15,14,11"
12,B08XNZD56X,"HP 15 11th Gen Intel Core i5 Processor 39.62 cm (15.6-inch) FHD Laptop (8GB/512GB SSD +32GB Intel Optane/Win 10/MS Office/Jet Black/1.69 Kg), 15s-fq2071TU  ",3.9 out of 5 stars,146,"₹55,990",https://m.media-amazon.com/images/I/71fvR6NCIFL._AC_UY218_.jpg,"quality,performance,keyboard,screen,time","22,10,10,9,9"
13,B095YC5VH4,"HP 15 (2021) Thin & Light 10th Gen Intel Core i3 Laptop, 8GB RAM, 512GB SSD, 39.62 cms (15.6"") FHD Screen, Windows 10, MS Office, Jet Black (15s-du1516TU)  ",3.8 out of 5 stars,54,"₹43,990",https://m.media-amazon.com/images/I/81Ne5qKmE8L._AC_UY218_.jpg,"screen,time,battery,person,lappy","3,3,2,2,2"
14,B0924PSV78,"RDP ThinBook 1010 - Intel Celeron Quad Core Processor, 4GB RAM, 64GB Storage, Windows 10 Pro, 14.1” HD Screen  ",3.1 out of 5 stars,371,"₹19,990",https://m.media-amazon.com/images/I/51C6EHkMQpS._AC_UY218_.jpg,"service,money,quality,customer,media","44,36,35,32,32"
15,B09DMRQ6XB,"Lenovo Ideapad Slim 3 10th Gen Intel Core i3 15.6"" (39.62cm) FHD Thin & Light Laptop (4GB/256 GB SSD/UHD Graphics/Windows 10/MS Office/2 Year Warranty/Platinum Grey/1.7Kg), 81WB0112IN  ",3.8 out of 5 stars,128,"₹34,990",https://m.media-amazon.com/images/I/61Dw5Z8LzJL._AC_UY218_.jpg,"speed,hdd,battery,quality,time","8,6,5,4,4"
16,B09FL5CK19,"HP 15 Ryzen 3 Thin & Light 15.6-inch (39.6 cms) FHD Laptop (Ryzen 3 3250U/8GB/256GB SSD/Windows 10/MS Office/1.69 kg), 15s-gy0501AU, Silver  ",3.9 out of 5 stars,24,"₹38,990",https://m.media-amazon.com/images/I/71SMr4ZGf1L._AC_UY218_.jpg,"battery,warranty,slip,warrant,licence","5,4,3,3,2"
17,B09G9ZVCKQ,"Lenovo IdeaPad Slim 3 10th Gen Intel Core i3 15.6"" (39.62cm) FHD Thin & Light Laptop (4GB/256GB SSD/Windows 10/MS Office/2 Year Warranty/Platinum Grey/1.7Kg), 81WB010XIN  ",3.2 out of 5 stars,4,"₹37,190",https://m.media-amazon.com/images/I/61Dw5Z8LzJL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-IdeaPad-Warranty-Platinum-81WB010XIN/dp/B09G9ZVCKQ/ref=sr_1_22?keywords=laptop&qid=1636205411&sr=8-22,https://www.amazon.in/Lenovo-IdeaPad-Warranty-Platinum-81WB010XIN/product-reviews/B09G9ZVCKQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
18,B09F3QJG6Z,"Dell 15 (2021) i3-1005G1 Laptop, 8GB, 1TB HDD, Win 10 + MS Office, Integrated Graphics, 15.6"" (39.61 cms) FHD Display, Carbon Color (Inspiron 3511, D560592WIN9BE)  ",1.0 out of 5 stars,1,"₹57,990",https://m.media-amazon.com/images/I/61XR0oGhF6L._AC_UY218_.jpg,https://www.amazon.in/Dell-i3-1005G1-Integrated-3511-D560592WIN9BE/dp/B09F3QJG6Z/ref=sr_1_25?keywords=laptop&qid=1636205411&sr=8-25,
19,B09BCSPX7X,"Lenovo IdeaPad Slim 3 2021 11th Gen Intel Core i5 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/256GB SSD/Windows 10/MS Office/Backlit Keyboard/2 Year Warranty/Arctic Grey/1.65Kg), 82H80156IN  ",4.0 out of 5 stars,28,"₹49,990",https://m.media-amazon.com/images/I/61q6x-ll5FL._AC_UY218_.jpg,"quality,storage,battery,performance,display","6,5,3,3,3"
